"species","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"Lagothrix.flavicauda",-77.980639,-5.909806,190.446049697408,107.470869146752,80.711841715584,453.012432596094,256.481385697408,123.75769426624,132.723691431168,190.804879981825,183.79303026624,196.410713697408,183.79303026624,903.430049210353,113.117856577919,40.0234851467508,28.3706800000004,290.853395449341,137.682108009085,251.78272344934,137.682108009085
"Lagothrix.flavicauda",-77.732778,-5.977861,138.481530475131,115.351676323457,82.0553360000004,452.203561108995,206.644010659964,67.2637142902986,139.380296369665,139.478814521339,131.397574428923,143.510150521339,131.397574428923,1055.79223922858,139.224845155204,48.7760766007054,29.8034678613759,349.41767900353,156.829250125573,298.613535835276,156.829250125573
"Lagothrix.flavicauda",-77.9,-5.575667,179.263201600006,105.9632016,80.1316008000008,452.332846400002,245.231600800005,114.400000000006,130.831600799999,178.947193600005,173.047193600006,185.331600800006,173.047193600006,1199.8068736,130.4047824,69.5675687999982,19.2476087999998,363.5663232,238.512686399996,304.950730400001,238.512686399996
"Lagothrix.flavicauda",-77.081139,-6.361667,191.766920117373,106.918048000001,76.6263921173765,533.291315471809,257.779084058685,119.48742817606,138.291655882625,191.319584117373,184.319584117373,198.766920117373,184.319584117373,1115.00083059149,146.503263765248,54.7453119999993,29.3600160000005,366.831887530497,171.435855765246,310.651879530497,171.435855765246
"Lagothrix.flavicauda",-77.888278,-6.039306,154.03902366005,114.193108042493,82.2740933616633,443.071831915009,222.03872634088,83.938383660051,138.100342680829,155.03902366005,147.03902366005,159.03902366005,147.03902366005,934.455882893226,126.768526765814,38.5965599999948,33.5240320000013,317.222473489127,125.717163957487,270.360301361639,125.717163957487
"Lagothrix.flavicauda",-77.786861,-5.795444,140.190237294601,113.343067701246,81.9302558008317,446.994657194999,208.214917294601,70.802105394186,137.412811900414,140.574901294602,132.938353195018,145.190237294601,132.938353195018,1125.75834431534,137.602715502074,58.2111157012444,24.5659760000009,351.486290904561,191.798343402484,308.676194506221,191.798343402484
"Lagothrix.flavicauda",-78.265028,-5.669,177.166029312018,112.672517631998,84.382138368,411.736214016007,244.289752576018,110.99937331202,133.290379263998,176.305357312018,171.104167680018,181.722029312018,171.104167680018,1097.02172543998,120.819805951997,56.0474503679965,21.6523952640006,331.158454271997,198.731572735993,292.05359590399,198.731572735993
"Lagothrix.flavicauda",-78.4125,-5.919083,161.092207999993,120.143566400001,85.1768032,397.650779200002,230.431388799994,90.4646255999927,139.966763200001,161.650199999993,154.915404799993,165.092207999993,154.915404799993,971.793076800005,115.905944000002,43.4000000000003,28.1159840000005,303.203116800003,147.9028272,279.300289600004,147.9028272
"Lagothrix.flavicauda",-77.810722,-5.697861,161.572748117499,108.973205980417,81.2486640000002,424.8682013623,228.789351107707,95.7840841174983,133.005266990209,161.810801127291,155.292023107707,167.324084117498,155.292023107707,1105.75089067686,128.911107960832,61.0959549902073,22.9573280000003,341.584011882495,203.811758951037,286.024659882497,203.811758951037
"Lagothrix.flavicauda",-77.593917,-5.962083,127.360183553346,116.845378751744,81.690850687936,474.442664319043,196.678727617154,54.8333488654103,141.845378751744,128.051034241282,120.051034241282,133.051034241282,120.051034241282,1215.35913919037,153.248720319038,59.5767815034859,27.0631573120643,388.98275820537,194.086589950137,346.023217084727,194.086589950137
